SMILES,X1s,Y1s,Category,Ring1_Substituents,Ring2_Substituents,Ring1_Positions,Ring2_Positions
CCCOC1(c2ccc(-c3ccccc3)cc2)CN(C)C2CCCCC2O1,0.286371615,0.889908675,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(NO)[C@H]1CCCCN1S(=O)(=O)N1CC=C(c2ccc(-c3ccccc3)cc2)CC1,0.078010979,0.957200454,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)c1ccc(-c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1,0.268353855,0.87966432,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)C1(S(=O)(=O)C2CCCCC2)CCCC1,0.366201142,0.738903105,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
Cc1ccc(Cn2nc(Cl)c(N3CCNCC3)cc2=O)cc1NC(=O)Nc1ccc(-c2ccccc2)cc1,0.279282453,0.791118754,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2cccc(-c3ccccc3)c2)cc1,0.387176916,0.769911438,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 1, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
CC[C@H]1OC(=O)[C@H](C)[C@H]2OC/C(=N\Oc3ccc(-c4ccccc4)cc3)CCO[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]3NC(=O)O[C@@]31C)[C@H](O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O)[C@H]2C,0.386202243,0.772388916,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CNCc1cccc(NC(=O)CN2CCCCC(NC(=O)c3ccc(-c4ccccc4)cc3)C2=O)c1,0.386079453,0.721348946,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CC(C)n1cnc2c(NCc3ccc(-c4ccccc4)cc3)nc(NCCCCN)nc21,0.313507755,0.910824609,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
COC(=O)[C@H](CSC)NC(=O)c1cc(CNC[C@@H](N)CS)ccc1-c1ccccc1,0.334065049,0.787975648,single-ring-substituted,2,0,"{'ortho': 1, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CCOC(=O)c1c(-c2ccc(-c3ccccc3)cc2)csc1NC(=O)c1ccccc1C(=O)O,0.167317712,0.984871077,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
C=C(c1cccc2ccccc12)C1CCC2(CC1)COC(Nc1ccccc1-c1ccccc1)OO2,0.201525736,0.919963938,single-ring-substituted,1,0,"{'ortho': 1, 'meta': 0, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
COc1cc(NS(=O)(=O)c2ccc(-c3ccccc3)cc2)ccc1OCCN1CCCC1,0.481410278,0.747692673,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CC(c1nnc(Nc2ccc(Br)cc2)[nH]1)c1ccc(-c2ccccc2)cc1F,0.126304557,0.934731156,single-ring-substituted,2,0,"{'ortho': 0, 'meta': 1, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CCNC(=O)[C@@H](NC(=O)c1ccccc1-c1ccccc1)[C@@H]1NC(C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)c3ccccc3-c3ccccc3)C(=O)NCC)SC2(C)C)C(C)(C)S1,0.409998755,0.918744446,single-ring-substituted,1,0,"{'ortho': 1, 'meta': 0, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(N)=O,0.606649247,0.965065612,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(CNC(=O)C2CCCCC2)cc1,0.163344176,0.97781827,single-ring-substituted,2,0,"{'ortho': 0, 'meta': 1, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
Fc1cccc(Cl)c1-c1nc(-c2ccc(-c3ccccc3)cc2)c[nH]1,0.087897465,0.91791591,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
c1ccc(Cn2cncc2CNc2cccc(-c3ccccc3)c2)cc1,0.521661458,0.694541591,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 1, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(Nc1ccc(C(=O)N2CCC(CCS(=O)(=O)O)Sc3ccccc32)cc1)c1ccccc1-c1ccccc1,0.304256569,0.846083213,single-ring-substituted,1,0,"{'ortho': 1, 'meta': 0, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
