SMILES,X1s,Y1s,Category,Ring1_Substituents,Ring2_Substituents,ortho,meta,para,ortho_r2,meta_r2,para_r2
CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(-c3ccncc3)cc2)c1,0.292147289,0.88001433,variable-combination,1,1,0,1,0,0,0,1
Cc1cc(OCc2cc(-c3ccc(OC(F)(F)F)cc3)cc(-c3ccc(OC(F)(F)F)cc3)c2)ccc1OCC(=O)O,0.431790631,0.702310618,poly-substituted,2,1,0,2,0,0,0,1
COc1ccc(C(=O)/C=C/c2cc(-c3cc(C)cc(C)c3)ccc2OCCN(C)C)cc1CN(C)C,0.272295383,0.765653106,poly-substituted,2,2,0,1,1,0,2,0
O=C(Nc1ccccc1C(=O)O)c1ccc(-c2ccc(F)c(F)c2)c(Oc2ccccc2)c1,0.17974566,0.899470545,poly-substituted,2,2,1,0,1,0,1,1
CCN(C(=O)CCC(=O)Nc1ccc(-c2ccc(OCC(=O)O)cc2)cc1Cl)c1ccc(C(C)(C)C)cc1Cl,0.240128583,0.837506819,poly-substituted,2,1,0,1,1,0,0,1
N#Cc1cc(Cn2cncn2)cc(-c2ccc(OS(N)(=O)=O)cc2)c1,0.217803025,0.857076445,poly-substituted,2,1,0,2,0,0,0,1
CCOCCOc1cc(-c2ccc(CCNC[C@H](O)c3ccccc3)cc2)ccc1C(=O)O,0.372441998,0.821120257,poly-substituted,2,1,0,1,1,0,0,1
COC(=O)N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)Cc1cc([N+](=O)[O-])ccc1-c1cc(C(C)C)ccc1OC,0.555158391,0.882977459,poly-substituted,2,2,1,0,1,1,1,0
COc1cc(-c2ccc(CC3NCCc4cc(O)c(O)cc43)cc2)cc(OC)c1OC,0.098261815,0.921284341,poly-substituted,3,1,0,2,1,0,0,1
CNc1ccc(CNCc2cccc(-c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cc3)c2)cc1,0.18257783,0.856028707,variable-combination,1,1,0,1,0,0,0,1
CCNC(=O)c1noc(-c2cc(-c3ccc(F)cc3)c(O)cc2O)c1-c1ccc(CN2CCCCC2)cc1,0.479464609,0.695176486,poly-substituted,3,1,1,1,1,0,0,1
CCN(CC)Cc1cc(Nc2cc[n+]([O-])c3cc(Cl)ccc23)cc(-c2ccc(F)cc2)c1O,0.315325687,0.814202105,poly-substituted,3,1,1,2,0,0,0,1
CCOC(=O)[C@@H](N)Cc1ccc(-c2cc(OC(c3ccc(-c4cccc(F)c4)cc3)C(F)(F)F)nc(N)n2)cc1,0.183837181,0.883889158,variable-combination,1,1,0,0,1,0,1,0
Cc1cc(-c2ccc(CNC3Cc4ccccc4C3)cc2)ccc1S(=O)(=O)NCCN1CCCC1,0.22209519,0.858025217,poly-substituted,2,1,0,1,1,0,0,1
COc1ccc(-c2ccc(C(=O)N[C@H](C)CCCc3cccnc3)cc2)cc1OC,0.20837485,0.874483123,poly-substituted,2,1,0,1,1,0,0,1
CN(CCO)Cc1cccc(-c2ccc(NC(=O)c3cccc(C#N)c3)cc2)c1,0.241493206,0.894633146,variable-combination,1,1,0,1,0,0,0,1
COc1ccc(-c2ccc(NC(=O)c3ccc(Cl)cc3)cc2)cc1CN1CCNCC1,0.123179741,0.899357324,poly-substituted,2,1,0,1,1,0,0,1
C[C@@H](c1ccc(-c2ccc(F)c(F)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,0.229471542,0.833544225,poly-substituted,1,2,0,0,1,0,1,1
Cc1cc(-c2cccc(CNCc3ccc(F)cc3)c2)ccc1S(=O)(=O)NCCN1CCCC1,0.114751526,0.9465748,poly-substituted,2,1,0,1,1,0,1,0
C=CCn1c(-c2cc(-c3ccc(F)cc3F)ccc2O)n[nH]c1=S,0.215760378,0.923800128,poly-substituted,2,2,0,1,1,1,0,1
CCCCc1ncc(CO)n1Cc1ccc(-c2cccc(C(=O)O)c2)cc1,0.238662879,0.93799002,variable-combination,1,1,0,0,1,0,1,0
CN(C)C(=O)[C@@H](c1ccc(-c2cccc(C#N)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,0.305492999,0.798693266,variable-combination,1,1,0,0,1,0,1,0
Cc1nnc(-c2ccc(-c3cc(C(=O)NC4CC4)ccc3C)c(C)c2)o1,0.199863194,0.862412927,poly-substituted,2,2,1,0,1,1,1,0
N#CCCN1CCN(Cc2cccc(-c3ccc(-c4nc5ccccc5[nH]4)cc3)c2)CC1,0.169574331,0.859993088,variable-combination,1,1,0,1,0,0,0,1
Cn1cncc1C(OCc1ccc(C#N)cc1-c1ccc(F)c(Cl)c1)c1ccc(C#N)nc1,0.361633575,0.720817823,poly-substituted,2,2,1,1,0,0,1,1
COc1ccc(-c2cc(OC)c(OC)c(OC)c2)cc1O,0.255760349,0.826766428,poly-substituted,2,3,0,1,1,0,2,1
CN1CCN(CCCN(Cc2cccc(-c3ccc(CNCc4ccc5c(c4)OCO5)cc3)c2)C(=O)Nc2ccccc2)CC1,0.446044365,0.9453314,variable-combination,1,1,0,1,0,0,0,1
CCCC(=O)Oc1c(O)c(-c2ccc(O)cc2)c(OC(=O)CCc2ccccc2)c(O)c1-c1ccc(O)cc1,0.469107662,0.636398117,poly-substituted,5,1,2,2,1,0,0,1
COC(=O)c1c(F)cccc1-c1ccc(CNC(=O)C(O)(C(F)(F)F)C(F)(F)F)c(F)c1,0.20944897,0.945587165,poly-substituted,2,2,1,1,0,0,1,1
O=C1CCCN1CCCNCc1ccc(-c2cccc(-c3nc4ccccc4[nH]3)c2)cc1,0.176557947,0.920500747,variable-combination,1,1,0,0,1,0,1,0
CC1=C(O)C(C)(Cc2ccc(-c3cccc(Cl)c3)cc2)SC1=O,0.221732398,0.947269848,variable-combination,1,1,0,0,1,0,1,0
O=C(Oc1ccc(-c2ccc(F)cc2F)cc1C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1)c1ccc([N+](=O)[O-])cc1,0.310640614,0.741069062,poly-substituted,2,2,0,1,1,1,0,1
N[C@@H](Cc1cc(-c2ccc(Cl)cc2Cl)cc(CP(=O)(O)O)c1O)C(=O)O,0.375077802,0.74635311,poly-substituted,3,2,0,2,1,1,0,1
CN1CCN(C(=O)c2cc(-c3ccc(F)cc3F)ccc2O)CC1,0.312961928,0.737514533,poly-substituted,2,2,0,1,1,1,0,1
CCCc1cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)ccc1O[C@@H](Cc1ccccc1)C(=O)O,0.14771435,0.890996807,poly-substituted,2,1,0,1,1,0,0,1
COc1cc(-c2ccc(C)c(O)c2)cc(OC)c1O,0.261918126,0.765298587,poly-substituted,3,2,0,2,1,0,1,1
COc1ccc(CNCc2ccccc2)cc1-c1ccc(S(=O)(=O)NCCN2CCCC2)cc1,0.362627735,0.712328876,poly-substituted,2,1,1,1,0,0,0,1
N#Cc1ccc(Cn2cncn2)c(-c2ccc(OS(N)(=O)=O)c(Cl)c2)c1,0.312051233,0.856783963,poly-substituted,2,2,1,1,0,0,1,1
COc1ccc(-c2ccc(OCCN(C)CC(=O)O)c(C(=O)c3cccs3)c2)cc1OC,0.14578953,0.946918317,poly-substituted,2,2,0,1,1,0,1,1
Cn1nccc1C(=O)NCCNCc1ccc(-c2cccc(-c3nc4cc(F)ccc4[nH]3)c2)cc1,0.0974835,0.918491487,variable-combination,1,1,0,0,1,0,1,0
CN(CCO)Cc1cccc(-c2ccc(NC(=O)c3cccc(C#N)c3)cc2)c1,0.078127888,0.93493088,variable-combination,1,1,0,1,0,0,0,1
O=C(Nc1cccc(-c2ccc(-c3nc4cc(F)ccc4[nH]3)cc2)c1)Nc1ccc(Cl)c(Cl)c1,0.040993843,0.966979457,variable-combination,1,1,0,1,0,0,0,1
COc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)cc1F,0.392922224,0.702909001,poly-substituted,2,3,0,1,1,2,1,0
O=C1OCCCN1C(CCc1ccncc1)COc1ccc(-c2cccc([N+](=O)[O-])c2)cc1,0.172568881,0.903086812,variable-combination,1,1,0,0,1,0,1,0
OCc1ccc(-c2cccc(-c3ccc(CO)cc3)c2)cc1,0.135245547,0.883118611,variable-combination,1,1,0,0,1,0,1,0
Cc1ccc(C)c(-c2cc(C)c(OCCCc3cc(C)no3)c(C)c2)c1,0.204795975,0.940859299,poly-substituted,2,3,1,1,0,0,2,1
O=C(O)Cc1ccc(-c2ccc(NC(=O)c3cccc(-c4ccc(O)c(O)c4O)c3)cc2)s1,0.059600922,0.973770076,poly-substituted,1,3,0,1,0,1,1,1
CCCCOC(=O)NS(=O)(=O)c1ccc(OCCCC)cc1-c1ccc(Cn2ccnc2)cc1,0.640905509,0.789635034,poly-substituted,2,1,1,1,0,0,0,1
NS(=O)(=O)C(F)(F)c1cc(-c2ccc(CSCc3ccc(C(F)(F)P(=O)(O)O)c(Br)c3)cc2)ccc1Br,0.453316657,0.909970526,poly-substituted,2,1,0,1,1,0,0,1
COc1ccc(CNCc2ccc(F)cc2)cc1-c1ccc(S(=O)(=O)NCCN2CCCC2)c(C)c1,0.205678851,0.944405157,poly-substituted,2,2,1,1,0,0,1,1
Cc1ccc(C(=O)NC(C)C)cc1-c1ccc(C(=O)NCC2CC2)cc1,0.102172577,0.929054441,poly-substituted,2,1,1,1,0,0,0,1
FC(F)(F)c1ccc2[nH]c(-c3ccc(-c4cccc(CNCc5cnn(-c6ccccc6)n5)c4)cc3)nc2c1,0.318111833,0.785783726,variable-combination,1,1,0,0,1,0,1,0
O=C(Nc1ccc(-c2cccc(Cl)c2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1,0.077441456,0.932592232,variable-combination,1,1,0,0,1,0,1,0
COc1ccc(-c2cc(OC)cc([C@@H](C)C#Cc3c(C)nc(N)nc3N)c2)cc1,0.187349046,0.910808309,poly-substituted,1,2,0,0,1,0,2,0
CC(C)(C#N)c1cc(Cn2cncn2)cc(-c2ccc(OS(N)(=O)=O)c(Cl)c2)c1,0.309441735,0.750624634,poly-substituted,2,2,0,2,0,0,1,1
COc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,0.445815045,0.672706259,poly-substituted,2,3,0,1,1,1,1,1
COc1ccc(-c2cccc(NC(=O)c3cccc(Cl)c3)c2)cc1CN1CCCN(C)CC1,0.270315504,0.797350869,poly-substituted,2,1,0,1,1,0,1,0
CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(-c2ccc(Cl)cc2)c1F,0.404684521,0.645700821,poly-substituted,3,1,1,2,0,0,0,1
O=C(CCCCCNC(=O)c1ccc(O)c(-c2ccc(Cl)c(Cl)c2)c1)NCCc1ccc(Cl)c(Cl)c1,0.52090374,0.591371539,poly-substituted,2,2,1,1,0,0,1,1
O=C(NCCc1ccc(Cl)c(Cl)c1)C1CCCN(C(=O)c2ccc(O)c(-c3ccc(Cl)c(Cl)c3)c2)C1,0.477582886,0.850568984,poly-substituted,2,2,1,1,0,0,1,1
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccc(-c3ccc(CN(C)C)cc3)c1)CC2,0.260748395,0.762175716,variable-combination,1,1,0,1,0,0,0,1
N=C(N)NCc1cccc(-c2ccc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cn3)cc2)c1,0.326938968,0.73582888,variable-combination,1,1,0,1,0,0,0,1
CN1CCN(CC(=O)Nc2ccc(-c3cccc(-c4nc5cc(F)ccc5[nH]4)c3)cc2)CC1,0.098844215,0.927220588,variable-combination,1,1,0,0,1,0,1,0
CCc1cc(-c2ccc(O)cc2)ccc1C(C)=O,0.133545828,0.886762082,poly-substituted,2,1,0,1,1,0,0,1
COc1cc(-c2ccc(CCNC[C@H](O)c3ccccc3)cc2)ccc1C(=O)NS(C)(=O)=O,0.154325592,0.940843447,poly-substituted,2,1,0,1,1,0,0,1
CC(=O)NCCCOc1cc(/C=C/C(=O)O)ccc1-c1ccc(O)c(C23CC4CC(CC(C4)C2)C3)c1,0.314906121,0.961950698,poly-substituted,2,2,1,0,1,0,1,1
FC(F)(F)c1ccc2[nH]c(-c3cccc(-c4ccc(CNCC5CCCO5)cc4)c3)nc2c1,0.376678168,0.642651496,variable-combination,1,1,0,1,0,0,0,1
COc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)ccc(F)c2F)cc1C,0.38874165,0.702467772,poly-substituted,2,3,0,1,1,2,1,0
Cc1cc(C)cc(-c2ccc(C(C)(C)C(=O)O)cc2O)c1,0.170964873,0.901975519,poly-substituted,2,2,0,2,0,1,0,1
C[N+](C)(C)Cc1cc(-c2ccc(O)c(C[N+](C)(C)C)c2)ccc1O,0.233417855,0.847048692,poly-substituted,2,2,0,1,1,0,1,1
NS(=O)(=O)c1ccc(-c2ccc(F)c(F)c2-c2ccc(F)c(Cl)c2)cc1,0.371749571,0.740655472,poly-substituted,3,2,2,1,0,0,1,1
C=CCCN1CCN(C(=O)c2ccc(NCc3ccc(-c4cccc(F)c4C(=O)OC)cc3F)nc2)CC1,0.395462647,0.676953944,poly-substituted,2,2,0,1,1,1,1,0
COc1ccc(-c2ccc(CNC3Cc4ccccc4C3)cc2)cc1S(=O)(=O)NCCN1CCCC1,0.202148699,0.889004974,poly-substituted,2,1,0,1,1,0,0,1
N[C@@H](CS)CNc1ccc(-c2cccc(C(=O)O)c2)c(-c2ccccc2)c1,0.220024348,0.939712575,poly-substituted,2,1,1,0,1,0,1,0
CCCc1c(OCCCCOc2cc(O)c(-c3ccc(F)cc3)cc2CC)cccc1Oc1ccccc1C(=O)O,0.266837693,0.908777916,poly-substituted,3,1,1,1,1,0,0,1
Cc1cc(C(=O)Nc2ccc(-c3cccc(CN)c3)cc2)n(-c2ccc3cc(Cl)ccc3c2)n1,0.300451045,0.729621729,variable-combination,1,1,0,0,1,0,1,0
CC(C)c1cc(SC(C)(C)Sc2cc(-c3ccc(F)cc3)c(OCC(O)C[C@@H](O)CC(=O)O)c(C(C)C)c2)cc(-c2ccc(F)cc2)c1O,0.304590239,0.812305567,poly-substituted,3,1,1,2,0,0,0,1
CS(=O)(=O)NC(=O)c1ccc(-c2ccc(CCNC[C@H](O)c3ccccc3)cc2)cc1C1CCCC1,0.16713328,0.90286489,poly-substituted,2,1,0,1,1,0,0,1
NC(CO)(CCc1ccc(-c2ccc(Oc3ccccc3)cc2)cc1Cl)COP(=O)(O)O,0.246480132,0.843145075,poly-substituted,2,1,0,1,1,0,0,1
Cc1nc(-c2ccc(Cl)cc2-c2ccc([C@@H](C)NC(=O)C3(NC(=O)C(F)(F)F)CC3)c(F)c2)no1,0.193651794,0.900110323,poly-substituted,2,2,1,1,0,0,1,1
O=S(=O)(NCCN1CCCC1)c1cccc(-c2ccc(CNCc3ccsc3)cc2)c1,0.303263156,0.903803482,variable-combination,1,1,0,1,0,0,0,1
CCN(CC)Cc1cc(Nc2cc[n+]([O-])c3cc(Cl)ccc23)cc(-c2ccc(OC)cc2)c1O,0.426068139,0.650732175,poly-substituted,3,1,1,2,0,0,0,1
N#Cc1ccc(N2CCN(Cc3cccc(-c4ccc(-c5nc6ccccc6[nH]5)cc4)c3)CC2)nc1,0.289005011,0.78971105,variable-combination,1,1,0,1,0,0,0,1
CC(=O)Nc1c[nH]nc1NCc1ccc(-c2cc(Cl)cc(F)c2-c2noc(C)n2)cc1F,0.255126841,0.894605655,poly-substituted,2,3,0,1,1,1,2,0
COc1ccc(-c2cccc(NC(=O)c3ccc(F)cc3)c2)cc1CNC(C)C,0.138216443,0.905534863,poly-substituted,2,1,0,1,1,0,1,0
COc1ccc(-c2ccc(CNC(=O)c3ccc(Cl)cc3)c(F)c2)cc1CN1CCCN(C)CC1,0.126468288,0.935547765,poly-substituted,2,2,0,1,1,0,1,1
COc1cc(-c2cccc(OC)c2F)cc(OC)c1O,0.27601441,0.771449756,poly-substituted,3,2,0,2,1,1,1,0
COc1ccc(-c2cccc(C(=O)NC(CCN(C)C)c3ccc4ccccc4c3)c2)cc1,0.18620723,0.891059573,variable-combination,1,1,0,0,1,0,1,0
