SMILEs
N#Cc1ccc(-c2ccc(OCC(COc3ccccc3)N(O)C=O)cc2)cc1
COc1ccc(NC(=O)c2ccc(-c3ccc(C4=NC(C)ON4)cc3C)cc2)cc1N1CCN(C)CC1
C[C@@H](NC(=O)C1(NC(=O)C(F)(F)F)CC1)c1ccc(-c2cc(Cl)cc(F)c2-c2nnn(C)n2)cc1F
CCN(CC)Cc1cc(Nc2cc[n+]([O-])c3cc(Cl)ccc23)cc(-c2cc(OC)ccc2OC)c1O
CC(C)N1CCC(C(CN2CCN(CCCc3ccccc3-c3ccc(F)cc3)CC2)c2ccc(F)cc2)CC1
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(NN)c1
CSCC[C@H](NC(=O)c1ccc(COCc2ccc(-c3ccccc3F)o2)cc1-c1ccccc1C)C(=O)[O-]
CCCc1n(Cc2c(F)cc(c3c(S(=O)(NC(OCCC(C)C)=O)=O)cccc3)cc2)c(C(OCc4c(c5ccccc5)cccc4)=O)c(CC)n1
Oc1ccc(C2(c3c(c4c2cc(O)cc4)cccc3)c5ccc(O)cc5)cc1
O=[N+](c1cc(Cc2c3cccc2)c3cc1)[O-]
CS(=O)(Nc1cc(C(Oc2c3c(CO)ccc2)c4ccccc4)c3cc1)=O
CC(CO)(NCc1cc2c3c(ccc2)c(cccc4)c4c3c1)CO
CC(CN(c1c(Br)cnc(C#N)n1)NC(c2c(C(c3c4cccc3)=O)c4ccc2)=O)C
O=[N+]([O-])c1ccc2c(Oc3ccccc32)c1
O=[N+]([O-])c1ccc2c(Nc3ccccc32)c1
O=[N+]([O-])c1ccc2c(Sc3ccccc32)c1
O=C(CC(CCc1ccc(c2cc(Cc3c4cccc3)c4cc2)cc1)O)O
CS(=O)(Nc1ccc2c(N(c3ccccc3)Oc4cccc(CO)c42)c1)=O
CS(=O)(Nc1ccc2c(NNc3cccc(CO)c32)c1)=O
CS(=O)(Nc1ccc2c(N=Nc3cccc(CO)c32)c1)=O
CS(=O)(Nc1ccc2c(C=Cc3cccc(CO)c32)c1)=O
C1(C(C=CC=C2)=C2C=C3)=C3C=CC=C1
CS(=O)(Nc(cc1)cc2c1c(cccc3)c3cc2)=O
