Name,SMILEs,X1s,Y1s
5r,FC(C(C=C1)=CC=C1C(C=CC=C2)=C2C3=C(OC4CCCCC4)C=CC=C3)(F)F,0.58367053,0.871671015
5s,CN(C1=CC=CC=C1)C(C=CC=C2)=C2C3=C(C4=CC=C(C#N)C=C4)C=CC=C3,0.643437466,0.777192823
5t,CN(C1=CC=CC=C1)C(C=CC=C2)=C2C3=C(C4=CC=C(OC)C=C4)C=CC=C3,0.648637649,0.903159886
5u,NC1=CC=CC=C1C2=CC=CC=C2C3=CC=C(OC4=C5C=CC=C4)C5=C3,0.322391525,0.849602222
5v,FC(C(C=C1)=NC=C1C2=C(C3=CC=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C=CC=C2)(F)F,0.480622999,0.915069773
v5,COC(C(SC1=C2C=CC=C1)=C2C3=C4C=CC=C3)=[C@@]4[C@]5=C(C6=CC=C(C(F)(F)F)C=C6)C=CC=C5,0.53681063,0.642431061
v4,O=S(C1=C2C(C=CC=C3)=C3[C@]([C@]4=C(C5=CC=C(C(F)(F)F)C=C5)C=CC=C4)=C1NC6=CC=C(C)C=C6)(C7=C2C=CC=C7)=O,0.718128217,0.806617684
v3,COC(C=C1)=CC2=C1SC(C3=C(OC)C=CC=C3)=C2C4=CC=C(C(F)(F)F)C=C4,0.463837658,0.595278757
v1,CC(C=C1)=CC=C1NC2=C(C3=C(C4=CC=C(C(F)(F)F)C=C4)C=CC=C3)C=NC5=CC=CC=C52,0.511431995,0.728840189
T1,CC(C=C1)=CC=C1NC2=CC(C3=CC=CN=C3)=CC=C2C4=CC=CC=C4C5=CC=C(C(F)(F)F)C=C5,0.715193222,0.826817505
T2,O=S(C1=CC(C2=CC=CC=C2C3=CC=C(C(F)(F)F)C=C3)=C(NC4=CC=C(C)C=C4)C=C1)(C5CCCCC5)=O,0.748098793,0.862953329
T3,CCCCC1=CC=C(C2=CC=C(C(F)(F)F)C=C2)C(C3=CC(C4=CC=CC=C4)=CC=C3NC5=CC=C(C)C=C5)=C1,0.724519397,0.818286489
T4,ClC(C=C1NC2=CC=C(C)C=C2)=CC=C1C3=CC(C)=CC=C3C4=CC=C(C(F)(F)F)C=C4,0.514539391,0.838499233
T5,CC(C=C1)=CC=C1NC2=CC(N3C=CC4=C3C=CC=C4)=CC=C2C5=CC=CC=C5C6=CC=C(C(F)(F)F)C=C6,0.722510154,0.918478645
T6,CC(C=C1)=CC=C1NC2=CC=CC=C2C3=CC(N4C=CC5=C4C=CC=C5)=CC=C3C6=CC=C(C(F)(F)F)C=C6,0.448208526,0.66141627
T7,CC(C=C1)=CC=C1NC2=CC=C3C(C=CC=C3)=[C@@]2[C@@]4=CC=CC=C4C5=CC=C(C(F)(F)F)C=C5,0.62897718,0.73420527
T8,CC(C=C1)=CC=C1NC2=CC(C3=CC=CC=C3)=C4C(C=CC=C4)=[C@@]2[C@@]5=CC=CC=C5C6=CC=C(C(F)(F)F)C=C6,0.716363971,0.791126118
T9,CC(C=C1)=CC=C1NC2=C3C(C=CC=C3)=CC=C2C4=CC=CC=C4C5=CC=C(C(F)(F)F)C=C5,0.418228512,0.789708721
T10,CC(C=C1)=CC=C1NC2=CC(C)=CC=C2C3=CC(C)=CC=C3C4=CC=C(C(F)(F)F)C=C4,0.647929713,0.703051072
T11,CC(C=C1)=CC=C1NC2=CC(N3C=CC4=C3C=CC=N4)=CC=C2C5=CC=CC=C5C6=CC=C(C(F)(F)F)C=C6,0.413373628,0.687080427
T12,CCOC(C(C(C=CC=C1)=C1N2C)=C2C=C3)=C3C4=C(C5=CC=C(C(F)(F)F)C=C5)C=CC=C4,0.355134868,0.721323162
T13,CCOC1=CC=C(C(F)(F)F)C=C1C2=CC(C)=CC=C2C3=CC=C(C(F)(F)F)C=C3,0.496085848,0.808796105
H1c,FC(C(C=C1)=CC=C1C(C=CC=C2)=C2C3=C(N(C)C4=CC=CC=C4)C=CN=C3)(F)F,0.45923829,0.927347586
S2b,CC(C=C1)=CC=C1NC(C=C(OC)C=C2)=C2C3=C(C4=CC=C(C(F)(F)F)C=C4)C=CC=C3,0.576759464,0.798381786
S3c,CC(C=C1)=CC=C1NC(C=CC(C2=CC=CC=C2)=C3)=C3C4=C(C5=CC=C(C(F)(F)F)C=C5)C=CC=C4,0.34176328,0.839385554
S3a,CCOC1=C(C2=CC=CC=C2)C=CC=C1C3=CC=CC=C3C4=CC=C(C(F)(F)F)C=C4,0.419820498,0.740034228
S5a,CCOC1=CC=CC=C1C2=CC=CC(C)=C2C3=CC=C(C(F)(F)F)C=C3,0.458226372,0.806686392
S4c,CC(C=C1)=CC=C1NC(C=CC=C2)=C2C3=C(C4=CC=C(C(F)(F)F)C=C4)C=CC(C5CC5)=C3,0.268239776,0.870254149
6a,FC(C(C=C1)=CC=C1C2=[C@]([C@]3=C(C=CC=C4)C4=CC=C3NC5=CC=C(C)C=C5)C6=C(C=CC=C6)C=C2)(F)F,0.645009604,0.773847609
10,O=S(C(C1=C2)=CC=C2C3=[C@@]([C@@]4=C(OCC)C=CC5=C4C=CC=C5)C=CC=C3)(C6=C1C=CC=C6)=O,0.540124615,0.920621034
11,CCOC(C=CC1=C2C=CC=C1)=[C@@]2[C@]3=C(C4=CC=C(OC)C(C5=CC=CC=C5C6=CC=C(C(F)(F)F)C=C6)=C4)C=CC=C3,0.498017527,0.794329853
12,O=S(C(C1=C2)=CC=C2C3=C(C4=C(OC)C=CC=C4)C=CC=C3)(C5=C1C=CC=C5)=O,0.386389382,0.844135787
13,O=S(C(C1=CC=C2)=C2C3=CC=CC=C3C4=CC(C5=C(C6=C(OC)C=CC=C6)C=CC=C5)=CC=C4OC)(C7=C1C=CC=C7)=O,0.549437652,0.76527432
14,COC(C=CC=C1)=C1C2=C(C3=CC=C(OC)C(C4=CC=CC=C4C5=C(OC)C(C6=CC=CC=C6C7=CC=C(C(F)(F)F)C=C7)=CC=C5)=C3)C=CC=C2,0.299476175,0.901769775
